participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P02,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6586363636363636,0.16800734876139461,"[0.9166666666666667, 0.6333333333333333, 0.5083333333333333, 0.7166666666666667, 0.5181818181818182]",0.6654411764705882,25,59,84,2
P02,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.6486363636363637,0.11358129979039372,"[0.7583333333333333, 0.5333333333333333, 0.7166666666666667, 0.7166666666666667, 0.5181818181818182]",0.700735294117647,25,59,84,3
P03,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5833333333333334,0.21376258897301104,"[0.6166666666666667, 0.5, 0.55, 0.9166666666666667, 0.3333333333333333]",0.6054545454545455,30,23,53,1
P03,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.53,0.18980984636677248,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.8333333333333333, 0.3333333333333333]",0.5490909090909091,30,23,53,2
P03,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.53,0.24562844569254055,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.25]",0.5490909090909091,30,23,53,3
P03,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5961904761904762,0.18282900639185048,"[0.6785714285714286, 0.5357142857142857, 0.43333333333333335, 0.4583333333333333, 0.875]",0.6254545454545454,21,32,53,1
P03,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.5714285714285714,0.24160361598336194,"[0.5, 0.48214285714285715, 0.4166666666666667, 0.4583333333333333, 1.0]",0.6272727272727272,21,32,53,2
P03,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.565952380952381,0.1218032268747323,"[0.4107142857142857, 0.6607142857142857, 0.6333333333333333, 0.4583333333333333, 0.6666666666666667]",0.5854545454545454,21,32,53,3
P04,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5157051282051283,0.1406445170545756,"[0.6057692307692308, 0.5576923076923077, 0.2692307692307692, 0.6041666666666667, 0.5416666666666667]",0.5385714285714286,39,63,102,1
P04,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5146520146520146,0.050952661980486,"[0.5048076923076923, 0.5817307692307692, 0.44505494505494503, 0.5, 0.5416666666666667]",0.5095238095238095,39,63,102,2
P04,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.49926739926739927,0.0829003400507889,"[0.46634615384615385, 0.5576923076923077, 0.36813186813186816, 0.5416666666666667, 0.5625]",0.49000000000000005,39,63,102,3
P04,valence,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.6718864468864469,0.08613649327223974,"[0.7211538461538461, 0.5336538461538461, 0.7087912087912087, 0.75, 0.6458333333333333]",0.6971428571428572,39,63,102,1
P04,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.6499084249084249,0.14783080161213086,"[0.7836538461538461, 0.4326923076923077, 0.6373626373626373, 0.7916666666666667, 0.6041666666666667]",0.6776190476190476,39,63,102,2
P04,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.647985347985348,0.13798096105667393,"[0.8221153846153846, 0.5096153846153846, 0.6373626373626373, 0.75, 0.5208333333333333]",0.6861904761904762,39,63,102,3
P05,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6428571428571429,0.0698119527212666,"[0.746031746031746, 0.5595238095238095, 0.6190476190476191, 0.6190476190476191, 0.6706349206349207]",0.6521739130434783,45,70,115,1
P05,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.584126984126984,0.09076811717775111,"[0.6904761904761905, 0.5198412698412699, 0.6547619047619048, 0.5833333333333333, 0.4722222222222222]",0.6,45,70,115,2
P05,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.5801587301587301,0.10973495864538338,"[0.7261904761904762, 0.46825396825396826, 0.5634920634920635, 0.6547619047619048, 0.48809523809523814]",0.6,45,70,115,3
P05,valence,svm,paper_compact,all_channels,10,secondary,64,10,5,0.6117132867132867,0.1271552891394707,"[0.44405594405594406, 0.7167832167832169, 0.5189393939393939, 0.6401515151515151, 0.7386363636363636]",0.6159420289855072,62,55,117,1
P05,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.6032634032634032,0.1374251723212078,"[0.40559440559440557, 0.6713286713286714, 0.5606060606060606, 0.6022727272727273, 0.7765151515151515]",0.6079710144927536,62,55,117,2
P05,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5768648018648019,0.08959882596601408,"[0.44405594405594406, 0.6713286713286714, 0.6477272727272727, 0.5606060606060606, 0.5606060606060606]",0.5815217391304348,62,55,117,3
P06,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6549950049950051,0.09736165537229938,"[0.7714285714285715, 0.6357142857142857, 0.6573426573426573, 0.7027972027972028, 0.5076923076923077]",0.6543478260869565,52,67,119,1
P06,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.646943056943057,0.048581506915788115,"[0.6714285714285715, 0.6, 0.6573426573426573, 0.7097902097902098, 0.5961538461538461]",0.6467391304347826,52,67,119,2
P06,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6435964035964036,0.02943413235237586,"[0.6714285714285715, 0.6357142857142857, 0.6573426573426573, 0.6573426573426573, 0.5961538461538461]",0.6467391304347826,52,67,119,3
P06,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.6123809523809524,0.035747779708594926,"[0.6, 0.6285714285714286, 0.5888888888888888, 0.5777777777777777, 0.6666666666666666]",0.6728260869565217,47,72,119,1
P06,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6052380952380952,0.04188190814999609,"[0.5642857142857143, 0.6285714285714286, 0.5888888888888888, 0.5777777777777777, 0.6666666666666666]",0.6644927536231884,47,72,119,2
P06,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.6041269841269841,0.020469421792543137,"[0.6142857142857143, 0.6285714285714286, 0.5888888888888888, 0.5777777777777777, 0.6111111111111112]",0.6641304347826087,47,72,119,3
P07,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5566666666666666,0.09778803607803974,"[0.7, 0.55, 0.5416666666666666, 0.425, 0.5666666666666667]",0.7181159420289854,100,17,117,1
P07,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5366666666666667,0.07373940601876315,"[0.625, 0.55, 0.5166666666666666, 0.425, 0.5666666666666667]",0.7177536231884057,100,17,117,2
P07,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5266666666666666,0.09884752568139141,"[0.65, 0.425, 0.5666666666666667, 0.425, 0.5666666666666667]",0.7018115942028985,100,17,117,3
P07,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5411111111111111,0.09192723907499138,"[0.5, 0.5, 0.5, 0.5, 0.7055555555555556]",0.7670289855072464,24,92,116,1
P07,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.5375438596491228,0.04713165504434693,"[0.6052631578947368, 0.5657894736842105, 0.5, 0.49444444444444446, 0.5222222222222221]",0.5358695652173913,24,92,116,2
P07,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.529766081871345,0.05009711508436734,"[0.531578947368421, 0.5394736842105263, 0.4722222222222222, 0.6055555555555556, 0.5]",0.6141304347826086,24,92,116,3
P08,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5687878787878787,0.1161914761797214,"[0.6166666666666667, 0.6363636363636364, 0.36363636363636365, 0.5909090909090908, 0.6363636363636364]",0.5636363636363637,56,54,110,1
P08,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.5654545454545454,0.06994685113335034,"[0.6, 0.6363636363636364, 0.45454545454545453, 0.5909090909090908, 0.5454545454545454]",0.5636363636363637,56,54,110,2
P08,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5407575757575758,0.08230146269761625,"[0.6583333333333333, 0.5, 0.45454545454545453, 0.5909090909090908, 0.5]",0.5363636363636364,56,54,110,3
P08,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.6448484848484848,0.05939703145940183,"[0.6333333333333333, 0.5909090909090908, 0.7272727272727273, 0.5909090909090908, 0.6818181818181819]",0.6454545454545455,56,54,110,1
P08,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.635,0.04382299106011077,"[0.675, 0.6363636363636364, 0.6818181818181819, 0.5909090909090908, 0.5909090909090909]",0.6363636363636364,56,54,110,2
P08,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.6306060606060606,0.06762737531239629,"[0.5166666666666667, 0.6363636363636364, 0.6363636363636364, 0.6818181818181818, 0.6818181818181819]",0.6363636363636364,56,54,110,3
P09,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6473214285714286,0.09580028452622742,"[0.65625, 0.65625, 0.7946428571428572, 0.5892857142857143, 0.5401785714285714]",0.7347826086956522,37,80,117,1
P09,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.6267857142857143,0.07939654014335067,"[0.625, 0.6875, 0.7232142857142857, 0.5580357142857143, 0.5401785714285714]",0.717391304347826,37,80,117,2
P09,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.6205357142857142,0.07450142530481535,"[0.625, 0.65625, 0.7232142857142857, 0.5580357142857143, 0.5401785714285714]",0.7090579710144927,37,80,117,3
P09,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.5658730158730159,0.08972993550243341,"[0.5, 0.5357142857142857, 0.4722222222222222, 0.6507936507936507, 0.6706349206349207]",0.5822463768115942,47,70,117,1
P09,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.5398412698412699,0.07534960927595985,"[0.65, 0.5571428571428572, 0.5277777777777778, 0.44047619047619047, 0.5238095238095238]",0.5373188405797101,47,70,117,2
P09,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5328571428571428,0.13826116650661244,"[0.5071428571428571, 0.6214285714285714, 0.5119047619047619, 0.6944444444444444, 0.32936507936507936]",0.5036231884057971,47,70,117,3
P10,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.5016899766899767,0.13468354413257624,"[0.29166666666666663, 0.6538461538461539, 0.5734265734265734, 0.5, 0.48951048951048953]",0.5083333333333334,56,64,120,1
P10,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.5015734265734266,0.08469643722469326,"[0.375, 0.5034965034965035, 0.6048951048951049, 0.5419580419580419, 0.4825174825174825]",0.5083333333333333,56,64,120,2
P10,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.49516317016317013,0.07391278599981049,"[0.4583333333333333, 0.5769230769230769, 0.40559440559440557, 0.5664335664335665, 0.46853146853146854]",0.5,56,64,120,3
P10,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5242857142857142,0.05165624209075581,"[0.4571428571428572, 0.5928571428571429, 0.4928571428571429, 0.5357142857142857, 0.5428571428571428]",0.5583333333333333,50,70,120,1
P10,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.5171428571428571,0.06972979921066164,"[0.44285714285714284, 0.5928571428571429, 0.44285714285714284, 0.5571428571428572, 0.55]",0.55,50,70,120,2
P10,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.5142857142857143,0.10534200859823302,"[0.4714285714285714, 0.4214285714285715, 0.5928571428571429, 0.4285714285714286, 0.6571428571428571]",0.5333333333333333,50,70,120,3
P11,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5851448551448551,0.0921351628567643,"[0.6048951048951049, 0.5279720279720279, 0.6785714285714286, 0.4571428571428572, 0.6571428571428571]",0.6083333333333333,52,68,120,1
P11,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5822577422577423,0.06176348822981822,"[0.5664335664335665, 0.5734265734265734, 0.6785714285714286, 0.5071428571428571, 0.5857142857142856]",0.6,52,68,120,2
P11,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5674525474525474,0.06287680265315596,"[0.5664335664335665, 0.5279720279720279, 0.5928571428571429, 0.4928571428571429, 0.6571428571428571]",0.5916666666666666,52,68,120,3
P11,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.525874125874126,0.09826508044549502,"[0.375, 0.5833333333333334, 0.5416666666666667, 0.6328671328671329, 0.49650349650349646]",0.525,58,62,120,1
P11,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.5244172494172494,0.1442835014619738,"[0.4166666666666667, 0.5416666666666666, 0.5833333333333334, 0.7237762237762237, 0.35664335664335667]",0.5166666666666667,58,62,120,2
P11,valence,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5196386946386946,0.08110644647883114,"[0.41666666666666663, 0.5416666666666667, 0.5, 0.5, 0.6398601398601399]",0.525,58,62,120,3
P12,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,4,0.5862068965517242,0.242607711715005,"[0.43103448275862066, 0.9482758620689655, 0.4827586206896552, 0.4827586206896552]",0.9,4,116,120,1
P12,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,4,0.5086206896551724,0.2635544709838644,"[0.3103448275862069, 0.896551724137931, 0.43103448275862066, 0.39655172413793105]",0.75,4,116,120,2
P12,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,4,0.5043103448275862,0.28691057381736984,"[0.39655172413793105, 0.9310344827586207, 0.3103448275862069, 0.3793103448275862]",0.7416666666666667,4,116,120,3
P12,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.605672268907563,0.06290078754847134,"[0.5252100840336134, 0.6680672268907563, 0.6554621848739496, 0.5546218487394958, 0.625]",0.6916666666666667,36,84,120,1
P12,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.5969012605042017,0.047044430806604295,"[0.5252100840336134, 0.5966386554621849, 0.6554621848739496, 0.6134453781512605, 0.59375]",0.6916666666666667,36,84,120,2
P12,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5667542016806723,0.05244755893538987,"[0.6554621848739496, 0.5252100840336134, 0.5546218487394958, 0.5672268907563025, 0.53125]",0.6583333333333333,36,84,120,3
P13,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6392929292929292,0.09593149010250186,"[0.7102272727272727, 0.7215909090909092, 0.6590909090909092, 0.6222222222222222, 0.4833333333333333]",0.6421052631578947,53,42,95,1
P13,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.637020202020202,0.09616001133963481,"[0.6477272727272727, 0.5227272727272727, 0.6590909090909092, 0.7777777777777778, 0.5777777777777777]",0.6421052631578947,53,42,95,2
P13,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.6315909090909091,0.1182769624782283,"[0.7102272727272727, 0.7840909090909092, 0.6136363636363636, 0.5666666666666667, 0.4833333333333333]",0.631578947368421,53,42,95,3
P13,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.547985347985348,0.1305364305121701,"[0.7243589743589745, 0.47435897435897434, 0.5512820512820513, 0.608974358974359, 0.38095238095238093]",0.5473684210526316,31,64,95,1
P13,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.546978021978022,0.053537762189906385,"[0.5128205128205128, 0.6346153846153846, 0.5576923076923077, 0.5, 0.5297619047619048]",0.631578947368421,31,64,95,2
P13,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5138278388278389,0.08813026193732133,"[0.4230769230769231, 0.6346153846153846, 0.5576923076923077, 0.5192307692307692, 0.43452380952380953]",0.5684210526315789,31,64,95,3
P14,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6201282051282051,0.08847268603117017,"[0.6346153846153846, 0.5576923076923077, 0.5916666666666667, 0.55, 0.7666666666666666]",0.6252964426877471,50,62,112,1
P14,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.6034615384615385,0.11694774537343161,"[0.7346153846153847, 0.5076923076923077, 0.5, 0.55, 0.725]",0.6067193675889329,50,62,112,2
P14,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5984615384615385,0.09304990071820946,"[0.6961538461538461, 0.5461538461538462, 0.55, 0.5, 0.7]",0.6158102766798419,50,62,112,3
P14,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5869696969696969,0.10934497981038588,"[0.48484848484848486, 0.5606060606060606, 0.7727272727272727, 0.5416666666666667, 0.575]",0.5905138339920948,59,53,112,1
P14,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5665151515151515,0.08445933487197026,"[0.6893939393939394, 0.5606060606060606, 0.5909090909090908, 0.5333333333333333, 0.45833333333333337]",0.5703557312252964,59,53,112,2
P14,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5646969696969697,0.10145096342469094,"[0.6136363636363636, 0.5568181818181819, 0.6363636363636364, 0.3916666666666667, 0.625]",0.5711462450592885,59,53,112,3
P15,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.5216666666666667,0.09538744902815448,"[0.6777777777777778, 0.5, 0.41666666666666663, 0.5138888888888888, 0.5]",0.6418972332015811,23,89,112,1
P15,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5022222222222222,0.10661746550456583,"[0.6777777777777778, 0.5, 0.41666666666666663, 0.4166666666666667, 0.5]",0.6418972332015811,23,89,112,2
P15,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.7312252964426877,23,89,112,3
P15,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6254761904761905,0.10370339157441417,"[0.7416666666666667, 0.7083333333333333, 0.48214285714285715, 0.6142857142857143, 0.5809523809523809]",0.6596837944664031,38,74,112,1
P15,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.6125,0.08351489574795255,"[0.6791666666666667, 0.6458333333333333, 0.5089285714285714, 0.5380952380952381, 0.6904761904761905]",0.6513833992094862,38,74,112,2
P15,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.6061904761904762,0.0905668014315508,"[0.6791666666666667, 0.6791666666666667, 0.48214285714285715, 0.5380952380952381, 0.6523809523809523]",0.6600790513833992,38,74,112,3
P16,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6788888888888889,0.06817166965250208,"[0.6111111111111112, 0.6833333333333333, 0.7083333333333333, 0.775, 0.6166666666666667]",0.6989130434782609,41,75,116,1
P16,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.655,0.09777915876550014,"[0.7666666666666666, 0.55, 0.6208333333333333, 0.75, 0.5875]",0.7061594202898551,41,75,116,2
P16,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.643888888888889,0.06124984252940198,"[0.7111111111111111, 0.6208333333333333, 0.5541666666666667, 0.6875, 0.6458333333333333]",0.6978260869565218,41,75,116,3
P16,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.6021328671328672,0.11980541034930656,"[0.5804195804195804, 0.6461538461538461, 0.7840909090909092, 0.4772727272727273, 0.5227272727272727]",0.6036231884057971,54,62,116,1
P16,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.5963053613053613,0.07740254611445478,"[0.6118881118881119, 0.6461538461538461, 0.6893939393939394, 0.5189393939393939, 0.5151515151515151]",0.6032608695652174,54,62,116,2
P16,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5747086247086247,0.09784801376853335,"[0.7027972027972028, 0.5192307692307692, 0.5151515151515151, 0.6553030303030303, 0.4810606060606061]",0.5764492753623188,54,62,116,3
P17,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.626890756302521,0.06997052573614886,"[0.6554621848739496, 0.5966386554621849, 0.5277777777777778, 0.6388888888888888, 0.7156862745098038]",0.6978260869565217,32,87,119,1
P17,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6261904761904762,0.08105649446672093,"[0.6512605042016807, 0.680672268907563, 0.5277777777777778, 0.5555555555555556, 0.7156862745098038]",0.6644927536231884,32,87,119,2
P17,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.572875816993464,0.10453274199602018,"[0.5546218487394958, 0.680672268907563, 0.5555555555555556, 0.4166666666666667, 0.6568627450980392]",0.6554347826086956,32,87,119,3
P17,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.648951048951049,0.0363195774682656,"[0.6853146853146853, 0.6363636363636364, 0.6571428571428571, 0.5928571428571429, 0.6730769230769231]",0.6641304347826087,52,67,119,1
P17,valence,svm,time_statistical,all_channels,all,primary,8,all,5,0.6271828171828172,0.06310637201747059,"[0.6398601398601399, 0.7097902097902098, 0.5714285714285714, 0.5571428571428572, 0.6576923076923077]",0.6304347826086957,52,67,119,2
P17,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.6263936063936064,0.05306031605938864,"[0.5944055944055944, 0.6958041958041958, 0.65, 0.5571428571428572, 0.6346153846153846]",0.6471014492753623,52,67,119,3
P18,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.5952797202797203,0.11785365155909194,"[0.5833333333333334, 0.5833333333333334, 0.4195804195804196, 0.6477272727272727, 0.7424242424242424]",0.5949275362318841,61,57,118,1
P18,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.5715617715617716,0.09334261008984493,"[0.5416666666666667, 0.5833333333333334, 0.43356643356643354, 0.6856060606060606, 0.6136363636363636]",0.5692028985507246,61,57,118,2
P18,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.552972027972028,0.11972340901370335,"[0.41666666666666663, 0.5833333333333334, 0.5034965034965035, 0.5227272727272727, 0.7386363636363636]",0.5521739130434783,61,57,118,3
P18,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6289627039627039,0.08598400427238789,"[0.6713286713286714, 0.5416666666666667, 0.5416666666666667, 0.6515151515151515, 0.7386363636363636]",0.6282608695652174,57,61,118,1
P18,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.6246503496503497,0.05116661289286083,"[0.6573426573426573, 0.6666666666666666, 0.5416666666666666, 0.6098484848484849, 0.6477272727272727]",0.6271739130434782,57,61,118,2
P18,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.6099067599067599,0.06579709579331554,"[0.6328671328671329, 0.6666666666666667, 0.5, 0.6477272727272727, 0.6022727272727273]",0.6105072463768116,57,61,118,3
P19,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.7041958041958042,0.030939610916963577,"[0.7167832167832169, 0.6958041958041958, 0.6573426573426573, 0.7412587412587412, 0.7097902097902098]",0.7083333333333334,65,55,120,1
P19,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6825174825174825,0.10938524932242266,"[0.7552447552447552, 0.7412587412587412, 0.5804195804195804, 0.7867132867132867, 0.548951048951049]",0.6833333333333333,65,55,120,2
P19,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.6643356643356644,0.0964870260597666,"[0.7552447552447552, 0.7412587412587412, 0.5734265734265734, 0.7027972027972028, 0.548951048951049]",0.6666666666666667,65,55,120,3
P19,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.6229166666666667,0.023844839879707477,"[0.6222222222222222, 0.5888888888888889, 0.6222222222222222, 0.65625, 0.625]",0.6416666666666666,43,77,120,1
P19,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6029166666666667,0.059924560341305506,"[0.5, 0.6222222222222222, 0.6111111111111112, 0.625, 0.65625]",0.6166666666666666,43,77,120,2
P19,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.6015277777777778,0.09013129141068611,"[0.5, 0.7, 0.5888888888888888, 0.53125, 0.6875]",0.6416666666666667,43,77,120,3
P20,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5215384615384615,0.09954449181855088,"[0.42948717948717946, 0.46153846153846156, 0.6858974358974359, 0.5307692307692308, 0.5]",0.5690058479532164,29,64,93,1
P20,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.5061538461538462,0.013760418323075637,"[0.5, 0.5, 0.5, 0.5307692307692308, 0.5]",0.643859649122807,29,64,93,2
P20,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.5053846153846153,0.03435801759096508,"[0.46153846153846156, 0.5, 0.5576923076923077, 0.5076923076923077, 0.5]",0.623391812865497,29,64,93,3
P20,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.5811111111111111,0.07345108391572626,"[0.4777777777777778, 0.5833333333333333, 0.6777777777777778, 0.6111111111111112, 0.5555555555555556]",0.5807017543859649,47,46,93,1
P20,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5800000000000001,0.11710236104777297,"[0.41666666666666663, 0.5277777777777778, 0.7333333333333334, 0.6111111111111112, 0.6111111111111112]",0.5812865497076023,47,46,93,2
P20,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5722222222222222,0.16629588385661964,"[0.3222222222222222, 0.7388888888888889, 0.6888888888888889, 0.5, 0.6111111111111112]",0.5695906432748539,47,46,93,3
